rank,name,repository_url,bucket,science_score,project_score,total_citations,category,sub_category,language,owner_login,owner_name,owner_kind,owner_company,owner_website,ecosystems,package_names,monthly_downloads,dependent_repos,dependent_packages,registry_maintainers,stars,archived,days_since_release,days_since_commit,days_since_push,total_committers,past_year_commits,past_year_committers,dds,past_year_dds,issue_maintainers_count,active_maintainers_count,active_maintainers,past_year_issues,past_year_prs,past_year_issues_closed,past_year_prs_merged,advisories,unpatched_advisories,signals,science_html_url
1496,GeneNetwork,https://github.com/genenetwork/genenetwork2,active,95.0,7.872836175025723,0,Scientific Software,Peer-reviewed,Python,genenetwork,GeneNetwork,organization,,http://www.genenetwork.org/,,,0,,,,39,0,,,15,36,196,5,0.6478660835469763,0.37755102040816324,2,1,BonfaceKilz,1,6,0,4,0,0,push:15d commits:196 active_maint:1 closed:4 merged:4,https://science.ecosyste.ms/projects/3123
1497,oxDNA,https://github.com/lorenzo-rovigatti/oxdna,active,95.0,7.871692664323645,0,Scientific Software,Peer-reviewed,C++,lorenzo-rovigatti,Lorenzo Rovigatti,user,Sapienza University of Rome,http://www.roma1.infn.it/~rovigatl/,,,0,,,,73,0,,,17,42,142,9,0.4637599093997735,0.4436619718309859,3,2,"lorenzo-rovigatti,ErikPoppleton",5,13,2,10,0,0,push:17d commits:142 active_maint:2 closed:12 merged:10,https://science.ecosyste.ms/projects/1271
1498,stable-baselines3,https://github.com/dlr-rm/stable-baselines3,active,75.0,27.864745365681436,0,,,Python,DLR-RM,DLR-RM,organization,,https://rm.dlr.de,"go,conda,pypi","github.com/DLR-RM/stable-baselines3,github.com/dlr-rm/stable-baselines3,stable-baselines3,rigged-sb3",678109,641,88,5,13602,0,370,,12,173,39,13,0.4006659267480577,0.5897435897435898,3,1,araffin,22,42,9,18,0,0,push:12d release:370d commits:39 active_maint:1 closed:38 merged:18,https://science.ecosyste.ms/projects/55098
1499,QMCTorch,https://github.com/nlesc-jcer/qmctorch,dormant,93.0,9.845858439699493,0,Scientific Software,Peer-reviewed,Python,NLESC-JCER,NLESC-JCER,organization,,,pypi,qmctorch,116,1,0,1,28,0,443,,443,4,0,0,0.038828337874659447,0.0,4,0,"",2,39,1,29,0,0,push:443d release:443d commits:0 active_maint:0 closed:35 merged:29,https://science.ecosyste.ms/projects/911
1500,EDP,https://github.com/ifilot/edp,dormant,98.0,4.836281906951478,0,Scientific Software,Peer-reviewed,C++,ifilot,Ivo Filot,user,Eindhoven University of Technology,http://www.ivofilot.nl,,,0,,,,39,0,,,539,3,0,0,0.303030303030303,0.0,1,0,"",2,1,0,1,0,0,push:539d commits:0 active_maint:0 closed:1 merged:1,https://science.ecosyste.ms/projects/1072
1501,hypr,https://github.com/mmrabe/hypr,unknown,100.0,2.833213344056216,0,Scientific Software,Peer-reviewed,R,mmrabe,Maximilian M. Rabe,user,University of Copenhagen,https://maxrabe.com,,,0,,,,17,0,,,994,1,0,0,0.0,0.0,1,0,"",0,0,0,0,0,0,push:994d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2248
1502,CoSApp,https://gitlab.com/cosapp/cosapp,active,89.0,13.813203899672352,0,Scientific Software,Peer-reviewed,,,,,,,"conda,pypi",cosapp,1044,1,2,1,18,0,412,,,15,77,4,0.09464285714285714,0.16883116883116878,0,0,"",,,,,0,0,release:412d commits:77 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/806
1503,Black-it,https://github.com/bancaditalia/black-it,active,93.0,9.813015649372051,0,Scientific Software,Peer-reviewed,Python,bancaditalia,Banca d'Italia,organization,,,pypi,black-it,56,1,0,1,60,0,481,,49,5,14,2,0.6272189349112426,0.3571428571428571,0,0,"",1,0,0,0,0,0,push:49d release:481d commits:14 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1354
1504,mmappickle,https://github.com/unine-chyn/mmappickle,unknown,93.0,9.809396629136533,0,Scientific Software,Peer-reviewed,Python,UniNE-CHYN,University of Neuchâtel (CHYN),organization,,https://www.unine.ch/chyn/,pypi,mmappickle,23,1,0,1,38,0,3069,,2964,3,0,0,0.03125,0.0,0,0,"",0,0,0,0,0,0,push:2964d release:3069d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2833
1505,LinRegOutliers,https://github.com/jbytecode/linregoutliers,active,95.0,7.803843303538772,0,Scientific Software,Peer-reviewed,Julia,jbytecode,Mehmet Hakan Satman,user,Istanbul University,,julia,LinRegOutliers,0,0,0,0,52,0,424,,43,5,16,1,0.0573613766730402,0.0,1,0,"",0,0,0,0,0,0,push:43d release:424d commits:16 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2011
