purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:julia/WAV,WAV,julia,dead,,0,0,,,,,,19,,,,,0,https://github.com/dancasimiro/wav.jl,pkg:julia/WAV,WAV,julia,dead,,0,0,,,,,,19,,,,,0,https://github.com/dancasimiro/wav.jl
pkg:julia/Codecs,Codecs,julia,unknown,,0,0,,,,,,19,,,,,0,https://github.com/biojulia/codecs.jl,pkg:julia/Codecs,Codecs,julia,unknown,,0,0,,,,,,19,,,,,0,https://github.com/biojulia/codecs.jl
pkg:julia/IndirectArrays,IndirectArrays,julia,unknown,,0,0,,,,,,19,,,,,0,https://github.com/juliaarrays/indirectarrays.jl,pkg:julia/IndirectArrays,IndirectArrays,julia,unknown,,0,0,,,,,,19,,,,,0,https://github.com/juliaarrays/indirectarrays.jl
pkg:julia/CUDAdrv,CUDAdrv,julia,dead,,1,2,,,,,,18,,,,,0,https://github.com/juliagpu/cudadrv.jl,pkg:julia/CUDAdrv,CUDAdrv,julia,dead,,1,2,,,,,,18,,,,,0,https://github.com/juliagpu/cudadrv.jl
pkg:julia/LibExpat,LibExpat,julia,unknown,,0,0,,,,,,17,,,,,0,https://github.com/juliaio/libexpat.jl,pkg:julia/LibExpat,LibExpat,julia,unknown,,0,0,,,,,,17,,,,,0,https://github.com/juliaio/libexpat.jl
pkg:julia/IndexedTables,IndexedTables,julia,unknown,,0,0,,,,,,16,,,,,0,https://github.com/juliadata/indexedtables.jl,pkg:julia/IndexedTables,IndexedTables,julia,unknown,,0,0,,,,,,16,,,,,0,https://github.com/juliadata/indexedtables.jl
pkg:julia/CUDAapi,CUDAapi,julia,dead,,1,0,,,,,,15,,,,,0,https://github.com/juliagpu/cudaapi.jl,pkg:julia/CUDAapi,CUDAapi,julia,dead,,1,0,,,,,,15,,,,,0,https://github.com/juliagpu/cudaapi.jl
pkg:julia/ScikitLearnBase,ScikitLearnBase,julia,unknown,,0,0,,,,,,15,,,,,0,https://github.com/cstjean/scikitlearnbase.jl,pkg:julia/ScikitLearnBase,ScikitLearnBase,julia,unknown,,0,0,,,,,,15,,,,,0,https://github.com/cstjean/scikitlearnbase.jl
pkg:julia/MetaProgTools,MetaProgTools,julia,unknown,,0,0,,,,,,15,,,,,0,https://github.com/madsjulia/metaprogtools.jl,pkg:julia/MetaProgTools,MetaProgTools,julia,unknown,,0,0,,,,,,15,,,,,0,https://github.com/madsjulia/metaprogtools.jl
pkg:julia/InternedStrings,InternedStrings,julia,dead,,0,0,,,,,,14,,,,,0,https://github.com/juliastring/internedstrings.jl,pkg:julia/InternedStrings,InternedStrings,julia,dead,,0,0,,,,,,14,,,,,0,https://github.com/juliastring/internedstrings.jl
pkg:julia/ImageAxes,ImageAxes,julia,unknown,,0,0,,,,,,14,,,,,0,https://github.com/juliaimages/imageaxes.jl,pkg:julia/ImageAxes,ImageAxes,julia,unknown,,0,0,,,,,,14,,,,,0,https://github.com/juliaimages/imageaxes.jl
pkg:julia/QuartzImageIO,QuartzImageIO,julia,unknown,,0,0,,,,,,14,,,,,0,https://github.com/juliaio/quartzimageio.jl,pkg:julia/QuartzImageIO,QuartzImageIO,julia,unknown,,0,0,,,,,,14,,,,,0,https://github.com/juliaio/quartzimageio.jl
pkg:julia/BGZFStreams,BGZFStreams,julia,unknown,,0,0,,,,,,13,,,,,0,https://github.com/biojulia/bgzfstreams.jl,pkg:julia/BGZFStreams,BGZFStreams,julia,unknown,,0,0,,,,,,13,,,,,0,https://github.com/biojulia/bgzfstreams.jl
pkg:julia/RemoteFiles,RemoteFiles,julia,unknown,,0,0,,,,,,13,,,,,0,https://github.com/helgee/remotefiles.jl,pkg:julia/RemoteFiles,RemoteFiles,julia,unknown,,0,0,,,,,,13,,,,,0,https://github.com/helgee/remotefiles.jl
pkg:julia/VoronoiDelaunay,VoronoiDelaunay,julia,unknown,,0,0,,,,,,13,,,,,0,https://github.com/juliageometry/voronoidelaunay.jl,pkg:julia/VoronoiDelaunay,VoronoiDelaunay,julia,unknown,,0,0,,,,,,13,,,,,0,https://github.com/juliageometry/voronoidelaunay.jl
pkg:julia/Hiccup,Hiccup,julia,unknown,,0,0,,,,,,13,,,,,0,https://github.com/junolab/hiccup.jl,pkg:julia/Hiccup,Hiccup,julia,unknown,,0,0,,,,,,13,,,,,0,https://github.com/junolab/hiccup.jl
pkg:julia/CMakeWrapper,CMakeWrapper,julia,unknown,,0,1,,,,,,13,,,,,0,https://github.com/juliapackaging/cmakewrapper.jl,pkg:julia/CMakeWrapper,CMakeWrapper,julia,unknown,,0,1,,,,,,13,,,,,0,https://github.com/juliapackaging/cmakewrapper.jl
pkg:julia/SimradEK60TestData,SimradEK60TestData,julia,unknown,,0,0,,,,,,13,,,,,0,https://github.com/echojulia/simradek60testdata.jl,pkg:julia/SimradEK60TestData,SimradEK60TestData,julia,unknown,,0,0,,,,,,13,,,,,0,https://github.com/echojulia/simradek60testdata.jl
pkg:julia/CuArrays,CuArrays,julia,dead,,1,4,,,,,,12,,,,,0,https://github.com/juliagpu/cuarrays.jl,pkg:julia/CuArrays,CuArrays,julia,dead,,1,4,,,,,,12,,,,,0,https://github.com/juliagpu/cuarrays.jl
pkg:julia/JSON2,JSON2,julia,dead,,1,0,,,,,,12,,,,,0,https://github.com/quinnj/json2.jl,pkg:julia/JSON2,JSON2,julia,dead,,1,0,,,,,,12,,,,,0,https://github.com/quinnj/json2.jl
pkg:julia/BioSymbols,BioSymbols,julia,dormant,,0,0,,,,,,12,,,,,0,https://github.com/biojulia/biosymbols.jl,pkg:julia/BioSymbols,BioSymbols,julia,dormant,,0,0,,,,,,12,,,,,0,https://github.com/biojulia/biosymbols.jl
pkg:julia/LibCURL,LibCURL,julia,dormant,,0,0,,,,,,12,,,,,0,https://github.com/juliaweb/libcurl.jl,pkg:julia/LibCURL,LibCURL,julia,dormant,,0,0,,,,,,12,,,,,0,https://github.com/juliaweb/libcurl.jl
pkg:julia/CutPruners,CutPruners,julia,unknown,,0,0,,,,,,12,,,,,0,https://github.com/juliapolyhedra/cutpruners.jl,pkg:julia/CutPruners,CutPruners,julia,unknown,,0,0,,,,,,12,,,,,0,https://github.com/juliapolyhedra/cutpruners.jl
pkg:julia/LCMCore,LCMCore,julia,unknown,,0,0,,,,,,12,,,,,0,https://github.com/juliarobotics/lcmcore.jl,pkg:julia/LCMCore,LCMCore,julia,unknown,,0,0,,,,,,12,,,,,0,https://github.com/juliarobotics/lcmcore.jl
pkg:julia/Matcha,Matcha,julia,unknown,,0,0,,,,,,12,,,,,0,https://github.com/simondanisch/matcha.jl,pkg:julia/Matcha,Matcha,julia,unknown,,0,0,,,,,,12,,,,,0,https://github.com/simondanisch/matcha.jl
pkg:julia/SymmetricTensors,SymmetricTensors,julia,unknown,,0,0,,,,,,12,,,,,0,https://github.com/iitis/symmetrictensors.jl,pkg:julia/SymmetricTensors,SymmetricTensors,julia,unknown,,0,0,,,,,,12,,,,,0,https://github.com/iitis/symmetrictensors.jl
pkg:julia/CEnum,CEnum,julia,dead,,0,0,,,,,,11,,,,,0,https://github.com/juliainterop/cenum.jl,pkg:julia/CEnum,CEnum,julia,dead,,0,0,,,,,,11,,,,,0,https://github.com/juliainterop/cenum.jl
pkg:julia/SyntaxTree,SyntaxTree,julia,dead,,0,0,,,,,,11,,,,,0,https://github.com/chakravala/syntaxtree.jl,pkg:julia/SyntaxTree,SyntaxTree,julia,dead,,0,0,,,,,,11,,,,,0,https://github.com/chakravala/syntaxtree.jl
pkg:julia/DiffResults,DiffResults,julia,dormant,,0,0,,,,,,11,,,,,0,https://github.com/juliadiff/diffresults.jl,pkg:julia/DiffResults,DiffResults,julia,dormant,,0,0,,,,,,11,,,,,0,https://github.com/juliadiff/diffresults.jl
pkg:julia/QuantumInfo,QuantumInfo,julia,unknown,,0,0,,,,,,11,,,,,0,https://github.com/bbn-q/quantuminfo.jl,pkg:julia/QuantumInfo,QuantumInfo,julia,unknown,,0,0,,,,,,11,,,,,0,https://github.com/bbn-q/quantuminfo.jl
pkg:julia/AWSSQS,AWSSQS,julia,unknown,,0,0,,,,,,11,,,,,0,https://github.com/juliacloud/awssqs.jl,pkg:julia/AWSSQS,AWSSQS,julia,unknown,,0,0,,,,,,11,,,,,0,https://github.com/juliacloud/awssqs.jl
pkg:julia/NonUniformRandomVariateGeneration,NonUniformRandomVariateGeneration,julia,unknown,,0,0,,,,,,11,,,,,0,https://github.com/awllee/nonuniformrandomvariategeneration.jl,pkg:julia/NonUniformRandomVariateGeneration,NonUniformRandomVariateGeneration,julia,unknown,,0,0,,,,,,11,,,,,0,https://github.com/awllee/nonuniformrandomvariategeneration.jl
pkg:julia/VT100,VT100,julia,unknown,,0,0,,,,,,11,,,,,0,https://github.com/keno/vt100.jl,pkg:julia/VT100,VT100,julia,unknown,,0,0,,,,,,11,,,,,0,https://github.com/keno/vt100.jl
